"Especie","Toneladas","Tamanho","Sexo","Dia","Mes","Ano","Latitude","Longitude"
"Albacora laje",5.88,160.19,"M",12,6,2019,-33.0010672286153,110.397558007389
"Albacora bandolim",6.91,157.5,"F",11,9,2022,67.4927196884528,-5.80370619893074
"Tubarao Azul",6.33,129.27,"M",23,8,2022,2.88581524975598,168.759377421811
"Albacora branca",2.47,121.43,"M",20,3,2020,61.3932230416685,-67.8573986515403
"Albacora branca",0.77,127.17,"F",2,8,2019,4.53508340287954,-167.155090291053
"Albacora branca",7.41,180.57,"M",22,5,2020,52.9543765308335,-130.292914956808
"Meca",4.87,116.71,"F",26,6,2018,-66.914625861682,31.5770180057734
"Outros",5.41,175.53,"F",13,12,2020,-38.2236730540171,164.9297962524
"Tubarao Azul",6.95,143.53,"F",18,10,2018,44.9827426671982,-174.429574655369
"Meca",6.64,125.36,"F",27,4,2020,-32.146228607744,-128.664700007066
"Albacora branca",5.03,146.04,"M",2,3,2020,83.8906321534887,167.79975595884
"Tubarao Azul",3.18,170.13,"M",22,4,2023,-86.0433391621336,-88.8863650057465
"Meca",5.46,185.67,"M",7,5,2021,-89.122959477827,137.149248132482
"Outros",2.12,167.65,"F",3,11,2019,-6.05609942693263,74.8077148385346
"Albacora bandolim",7.48,158.01,"M",23,5,2019,-71.8196301022545,-136.629885211587
"Albacora bandolim",7.74,183.56,"M",7,4,2021,0.815292382612824,-34.9611834157258
"Albacora bandolim",1.7,160.98,"F",18,1,2018,-88.2892244355753,141.008586818352
"Tubarao Azul",3.81,189.73,"M",17,7,2018,-12.460364587605,-176.736406758428
"Albacora branca",3.41,167.29,"F",22,8,2020,-15.9334212960675,-106.620787689462
"Albacora laje",3.57,123.75,"M",2,11,2023,-19.0848331572488,102.558341575786
"Tubarao Azul",0.36,133.84,"F",14,12,2020,74.7904028138146,164.609692627564
"Outros",4.74,123.89,"F",12,11,2019,7.03623182605952,-78.959102248773
"Albacora branca",5.69,149.07,"M",14,7,2019,-48.328210003674,-126.467194659635
"Albacora bandolim",2.1,169.32,"F",28,10,2021,10.1478379033506,175.40994560346
"Albacora laje",0.66,118.44,"F",11,5,2019,-87.9877028614283,-55.4142183903605
"Tubarao Azul",3.43,136.14,"F",7,11,2023,-61.8709996948019,21.5440745372325
"Albacora branca",6.16,158.41,"F",27,9,2019,-38.4272450907156,25.153035717085
"Albacora bandolim",2.23,187.03,"F",6,2,2021,-44.7151399729773,107.049189610407
"Meca",5.11,176.11,"M",7,8,2018,-26.245112917386,69.6493396628648
"Albacora bandolim",7.18,144.43,"M",13,4,2020,-43.0923884734511,26.5397990494967
"Tubarao Azul",2.01,152.93,"M",7,6,2021,-3.33405428566039,-109.29277296178
"Tubarao Azul",1.5,152.2,"M",2,12,2020,74.1897076042369,74.4937653746456
"Albacora laje",6.77,164.04,"F",5,3,2019,-39.6931218914688,11.3133639190346
"Tubarao Azul",6.83,153.46,"M",28,9,2022,-27.9862720426172,-126.356297302991
"Albacora branca",0.64,189.86,"F",8,9,2023,83.9999508205801,-174.114239914343
"Albacora laje",1.96,154.11,"F",10,7,2023,-46.6889538243413,-127.825612826273
"Albacora bandolim",7.08,183.58,"F",9,12,2021,-53.4443932352588,-154.429435366765
"Albacora branca",2.07,125.44,"F",4,2,2018,-42.1082796575502,35.3325391095132
"Outros",1.13,144.04,"M",25,10,2020,-27.8590037394315,-157.919493634254
"Albacora branca",7.17,175.83,"M",3,2,2022,-4.95413992088288,-86.6323277447373
"Meca",0.72,149.01,"M",9,6,2018,-55.4098522989079,-107.239428218454
"Tubarao Azul",7.16,159.23,"M",21,2,2020,57.5209832238033,-168.15701614134
"Outros",1.86,177.67,"M",27,3,2023,-38.8058103527874,-4.27802413702011
"Meca",6.03,132.33,"M",10,8,2019,2.0022349152714,-11.3081274088472
"Meca",4.77,168.8,"M",6,6,2021,84.2272215150297,114.823438916355
"Outros",7.27,128.68,"F",18,9,2020,87.4321519536898,-67.5086054485291
"Tubarao Azul",2.87,119.27,"F",16,8,2019,-60.0568527169526,-55.0902136601508
"Tubarao Azul",6.2,149.3,"M",11,8,2021,81.7243116348982,-131.79157577455
"Outros",2.05,115.15,"M",3,12,2023,-50.450808336027,90.1463648770005
"Albacora laje",2.41,189.61,"F",6,4,2022,-51.6384646296501,7.94027653522789
"Albacora branca",2.85,187.04,"M",14,3,2019,-64.7614097362384,-50.2578784245998
"Albacora branca",2.64,175.84,"F",8,6,2020,77.8382842149585,144.250398175791
"Albacora laje",2.2,156.24,"F",26,2,2021,-48.5176086612046,-107.953070495278
"Albacora bandolim",3.44,135.46,"M",9,2,2021,-45.5038490239531,-64.9118791054934
"Albacora laje",7.23,147.54,"F",8,9,2022,-62.7838729787618,35.933456774801
"Albacora laje",1.97,187.91,"M",2,10,2022,88.1605126010254,-163.024333259091
"Meca",0.62,152.31,"M",27,8,2019,-89.0714182332158,151.340690720826
"Albacora laje",0.4,152.01,"M",25,1,2023,6.31141542457044,-175.406795851886
"Albacora branca",4.87,141.38,"F",24,6,2019,-42.4166689859703,33.4198168851435
"Albacora bandolim",4.73,186.39,"F",24,8,2021,-33.2232776843011,110.047087417915
"Tubarao Azul",2.15,186,"M",14,3,2021,-63.487401693128,-148.112156717107
"Tubarao Azul",0.92,139.71,"M",19,7,2018,-45.107200727798,92.2591760382056
"Albacora bandolim",6.45,158.49,"M",23,1,2018,55.851273117587,-41.3384074252099
"Meca",0.46,152.83,"M",7,12,2019,-21.3776822760701,6.56063044443727
"Albacora branca",6.85,128.73,"M",26,11,2019,77.2675781976432,-159.262355742976
"Outros",0.69,132.32,"M",1,4,2023,-22.0188707113266,169.852843713015
"Albacora bandolim",1.36,170.63,"M",23,3,2018,-19.0999909071252,85.7320859469473
"Albacora branca",5.83,186.19,"F",5,3,2022,-68.3116809139028,-63.7267589662224
"Albacora laje",6.74,173.58,"F",22,9,2020,67.5491056311876,8.05503468029201
"Albacora bandolim",6.92,151.8,"F",5,4,2023,55.1373568782583,141.593066062778
"Albacora bandolim",7.61,133.51,"M",8,5,2020,9.009326887317,-155.152925793082
"Albacora bandolim",7.72,129.1,"F",6,11,2022,82.1222890913486,95.6574695650488
"Tubarao Azul",2.16,160.91,"F",20,1,2019,-24.1948574082926,-139.708934929222
"Meca",2.95,177.09,"F",24,1,2021,-30.878207590431,113.219754695892
"Albacora bandolim",4.65,115.84,"F",26,2,2022,-65.8558661397547,142.432564124465
"Albacora bandolim",7.74,128.47,"F",13,5,2018,-46.3028191588819,-90.7108993828297
"Tubarao Azul",1.14,166.23,"F",18,1,2020,-58.8291627774015,165.096759069711
"Albacora bandolim",3.46,165.25,"F",23,12,2018,57.8052707249299,144.172726515681
"Meca",2.56,189.5,"M",5,5,2022,8.80259445402771,-116.067103799433
"Meca",1.98,151.81,"M",18,5,2021,64.511377774179,-81.6175007075071
"Tubarao Azul",3.28,117.39,"F",21,10,2019,-50.4017205582932,-81.0732613038272
"Outros",1.81,177.07,"F",24,4,2023,80.558349005878,161.903541041538
"Albacora branca",4.35,133.61,"F",5,1,2018,-41.4362714672461,31.2004605866969
"Albacora laje",4.79,136.06,"F",8,11,2018,87.8722152393311,-122.378744110465
"Meca",2.75,140.53,"F",24,8,2018,-37.3985868366435,-159.019943475723
"Albacora branca",0.24,135.42,"M",15,7,2020,83.078360944055,-154.129394749179
"Meca",0.12,121.81,"M",21,7,2019,87.5042484747246,-96.3743529561907
"Tubarao Azul",7.55,123.9,"M",13,7,2022,-7.57931394036859,176.438973583281
"Albacora branca",4.54,172.77,"M",12,2,2021,-66.1890448210761,69.8184784222394
"Meca",0.62,188.82,"F",23,6,2019,-10.048454599455,65.6931472476572
"Albacora bandolim",1.27,176.47,"M",12,11,2021,44.6655340259895,-175.143482470885
"Albacora laje",7.63,150.5,"M",17,12,2022,71.3410805538297,2.4235126376152
"Tubarao Azul",1.62,116.82,"F",11,10,2020,-26.4933384116739,154.832483455539
"Albacora laje",2.48,128.6,"M",28,12,2020,88.9470546785742,-155.136283356696
"Albacora laje",6.97,174.47,"M",14,6,2020,-89.7529393807054,-90.305762020871
"Albacora bandolim",0.69,149.06,"M",17,8,2018,52.8029133193195,178.474913220853
"Albacora bandolim",6.85,151.82,"M",9,12,2022,-56.0693210782483,155.65982398577
"Meca",7.81,134.61,"M",14,9,2018,82.9818858671933,-87.5926138088107
"Outros",4.27,153.86,"F",7,8,2022,-62.6260643731803,115.273592881858
"Tubarao Azul",7.38,116.81,"M",24,10,2019,-34.5780656905845,-156.261887038127
"Outros",7.55,123.04,"M",22,7,2023,-56.3002088153735,-53.5465715266764
"Tubarao Azul",6.45,132.91,"M",1,8,2018,-22.3770740255713,-147.940259724855
"Tubarao Azul",7.48,188,"F",8,3,2020,46.5864119259641,142.658465132117
"Meca",4.4,164.15,"F",25,3,2023,-46.5874935267493,-106.346056228504
"Tubarao Azul",7.29,149.81,"F",2,3,2019,49.1796937678009,-160.648850016296
"Albacora laje",5.77,160.01,"F",7,12,2022,-46.4705875189975,85.9313754178584
"Tubarao Azul",3.22,166.64,"F",9,6,2019,-26.1851686472073,-110.635167611763
"Meca",7.07,159.24,"M",24,11,2020,-25.6237834738567,-152.047249535099
"Albacora branca",2.75,158.07,"F",5,11,2018,-45.0524834124371,81.8267844244838
"Tubarao Azul",7.49,176.14,"M",25,12,2023,88.2391876587644,-68.2998183835298
"Outros",7.23,136.36,"M",12,6,2019,79.58513406571,71.1206965148449
"Albacora bandolim",6.09,189.99,"F",28,2,2022,-82.6656784443185,-158.791654380038
"Meca",1.5,120.23,"M",1,11,2023,-19.2984157847241,116.377937709913
"Outros",6.36,186.32,"M",12,1,2022,61.677041365765,-34.2504717875272
"Tubarao Azul",2.54,186.19,"M",12,6,2023,84.2014952329919,-109.776590745896
"Albacora bandolim",1.88,178.5,"F",11,10,2018,60.9877569414675,17.9592033661902
"Albacora bandolim",2.42,179.46,"M",20,5,2018,-49.4743860187009,26.573456581682
"Meca",1.75,172.3,"M",7,6,2023,2.14928459376097,-156.42672194168
"Meca",5.42,156.42,"F",16,8,2021,-57.3740829108283,-111.777425045148
"Tubarao Azul",5.86,152.37,"F",15,6,2020,-54.0167407644913,92.8199947625399
"Albacora laje",0.66,148.66,"M",5,8,2020,4.94558748789132,158.121800087392
"Albacora branca",6.81,155.77,"F",25,6,2020,-58.0725479498506,-176.529315412045
"Outros",5.75,160.95,"M",5,12,2020,-54.3606191128492,147.413148656487
"Tubarao Azul",5.94,165.06,"M",19,5,2020,-79.3860083352774,-173.167115449905
"Tubarao Azul",0.26,160.45,"M",16,3,2018,83.2698990823701,75.6026460696012
"Albacora laje",0.93,120.61,"F",26,4,2019,-30.1116870297119,-16.6223442927003
"Meca",6.81,130.52,"M",22,5,2020,-69.2016442772001,-126.064154701307
"Tubarao Azul",1.93,187.09,"F",27,10,2022,-8.81585684604943,83.3640985563397
"Albacora laje",6.24,184.09,"F",5,7,2020,-70.8961107535288,-164.504062961787
"Meca",3.72,182.47,"F",23,8,2020,-0.808679312467575,-138.23411308229
"Albacora laje",3.32,143,"M",19,9,2023,-60.7286873180419,-7.95530470088124
"Tubarao Azul",1.82,122.37,"F",11,5,2023,68.3147370396182,-27.5529239606112
"Tubarao Azul",6.07,142.49,"M",12,7,2022,88.577764830552,44.4797631818801
"Meca",3.78,131.28,"M",21,10,2018,-58.788749515079,57.7661336492747
"Albacora branca",4.04,182.92,"F",18,4,2023,-57.8687080694363,130.365701057017
"Albacora bandolim",7.31,166.89,"M",17,4,2022,-53.0914999824017,-148.622224107385
"Albacora laje",4.48,163.64,"F",2,5,2020,-16.2848522420973,-165.508481925353
"Albacora branca",0.86,127.16,"F",26,11,2021,71.1132565699518,0.135811557993293
"Tubarao Azul",5.14,124.59,"M",11,7,2018,-85.6825086660683,-3.52810649201274
"Outros",0.1,137.18,"F",8,10,2023,75.5505795311183,175.894633680582
"Outros",6.96,154.55,"F",20,3,2018,-19.8644404252991,-107.521745217964
"Meca",4.89,134.11,"F",8,7,2022,-53.2768144737929,48.0439838580787
"Albacora branca",7.12,187.01,"M",17,9,2022,-71.531069423072,-79.772386578843
"Albacora bandolim",2.71,165.76,"F",27,11,2021,-53.5649380786344,-25.0752866081893
"Outros",7.05,138.3,"F",12,9,2019,65.709261498414,-172.902938229963
"Tubarao Azul",6.26,145.47,"M",6,2,2021,-87.617362299934,76.5038676280528
"Tubarao Azul",6.56,142.81,"F",18,9,2022,-24.145468887873,58.0171023309231
"Albacora laje",5.37,144.9,"M",6,6,2019,-0.46512299682945,-165.89698347263
"Albacora laje",2.41,157.44,"F",18,6,2023,65.8178988425061,37.9101329203695
"Albacora bandolim",1.96,154.47,"F",27,1,2020,-38.7328279903159,-22.0118619315326
"Albacora branca",3.21,134.48,"F",7,2,2021,66.1874580010772,-14.520587772131
"Albacora laje",3.3,186.71,"F",18,4,2022,-52.5435212021694,-22.9147650673985
"Albacora branca",1.86,163.41,"F",12,10,2023,-89.5240175770596,-134.676164751872
"Albacora bandolim",7.24,151.56,"F",27,11,2023,-5.29346601571888,162.144801551476
"Albacora bandolim",5.95,136.2,"M",7,5,2020,6.56227237544954,-99.5926697552204
"Tubarao Azul",0.28,178.64,"F",12,2,2021,-86.0262274648994,167.84674750641
"Meca",6.35,135.17,"F",4,3,2018,62.0106363343075,-31.1983190104365
"Outros",0.33,131.81,"F",28,2,2022,-64.9642900144681,-148.525678077713
"Albacora bandolim",7.88,151.05,"F",21,12,2019,-18.0121761979535,81.5575602930039
"Meca",4.51,142.56,"F",4,3,2022,-27.695676907897,155.721917711198
"Albacora laje",2.26,134.42,"M",10,3,2021,-70.1814460521564,-83.5499065741897
"Albacora bandolim",0.74,121.91,"F",26,10,2022,-43.0239199334756,73.1556895840913
"Albacora laje",5.26,143.79,"F",28,3,2021,-82.204364980571,-168.60292701982
"Tubarao Azul",2.86,159.39,"M",18,6,2019,-3.7764706229791,-142.715710513294
"Outros",7.44,124.53,"F",4,1,2023,-0.892436988651752,95.0901994574815
"Tubarao Azul",6.67,152.84,"M",1,7,2018,85.2047773590311,164.698098739609
"Albacora laje",0.94,123.28,"F",22,12,2020,-44.1800718382001,-126.144765727222
"Tubarao Azul",0.2,126.68,"M",23,7,2019,51.9801367353648,-27.5627963338047
"Albacora laje",7.63,121.94,"M",28,2,2019,-88.5196903534234,106.57524889335
"Outros",2.82,120.01,"F",9,11,2023,78.8566094683483,-120.485233962536
"Albacora bandolim",3.39,115.29,"M",22,9,2019,-12.4426465434954,-34.4911289680749
"Meca",0.37,116.12,"M",9,9,2018,-64.0212413761765,71.2563019618392
"Tubarao Azul",4.9,178.2,"M",9,2,2018,-70.2586819371209,-74.5847326610237
"Tubarao Azul",2.96,189.3,"M",19,9,2021,-63.8958271080628,-61.1534881219268
"Albacora laje",3.89,179.41,"F",15,6,2019,-60.9564202325419,-126.265014521778
"Meca",3.72,117.38,"M",25,9,2020,-16.142335832119,100.253891944885
"Albacora laje",2.18,156.18,"M",11,1,2023,-44.3433347158134,-137.386660762131
"Albacora laje",0.2,169.43,"M",15,3,2020,-71.0877825412899,-149.975305432454
"Outros",4.46,125.71,"M",26,1,2021,11.7309098085389,87.9337163642049
"Meca",2.93,128.63,"M",6,5,2020,-38.6783312447369,25.8957128226757
"Albacora branca",5.65,153.72,"F",13,7,2020,73.8444078946486,-152.194032752886
"Albacora branca",3.94,141.27,"F",5,11,2019,-37.9492349596694,-57.4352797307074
"Albacora branca",0.45,119.48,"M",12,6,2023,-6.98969114106148,-14.1999502200633
"Tubarao Azul",3.91,162.62,"F",2,12,2022,-24.2006547516212,-172.346087666228
"Meca",1.36,161.93,"F",21,10,2022,46.5334902238101,173.500869423151
"Outros",4.85,188.08,"F",21,6,2019,2.87887608166784,-3.54309190995991
"Outros",4.9,150.33,"F",12,7,2020,43.6022521415725,154.869972188026
"Albacora laje",2.91,140.34,"M",11,7,2023,-32.3552628792822,-35.2763090282679
"Albacora laje",3.97,129.42,"F",12,11,2022,-33.3137438166887,57.5381404347718
"Outros",1.59,155.33,"F",4,4,2020,-1.75773505121469,76.4232810772955
"Albacora bandolim",3.67,189.56,"F",9,10,2020,56.5856943000108,-48.2022721599787
"Albacora bandolim",0.99,122.4,"M",10,5,2020,53.1370093580335,-30.3541995864362
"Meca",6.88,154.39,"M",6,2,2019,-49.3045578896999,146.588817397133
"Albacora branca",7.4,180.04,"F",14,11,2021,85.6662433315068,153.899855324998
"Albacora branca",5.04,177.32,"M",1,9,2018,-44.4791333237663,-108.892843527719
"Albacora branca",4.33,135.18,"F",7,7,2021,11.85121526476,-117.906148172915
"Tubarao Azul",1.05,153.12,"M",23,5,2020,-35.2572199562564,166.434497656301
"Tubarao Azul",6.78,142,"M",2,8,2019,-85.3561121178791,36.2318485882133
"Tubarao Azul",0.73,123.37,"F",6,1,2019,-24.5491613773629,-170.214046742767
"Albacora branca",4.31,179.1,"F",25,4,2020,-34.6238316781819,132.848035627976
"Albacora branca",5.09,173.28,"F",25,8,2019,89.1639486188069,-68.0895613599569
"Outros",3.46,187.6,"F",14,2,2020,-26.730751125142,94.2093725781888
"Albacora branca",7.11,145.61,"M",21,2,2020,-9.6938464930281,-138.552201529965
"Albacora branca",0.78,122.34,"M",13,12,2019,89.7715058829635,-145.33371523954
"Albacora branca",6.49,176,"F",22,7,2023,-66.996566131711,-67.6853261422366
"Albacora branca",1.2,153.77,"M",17,9,2020,-62.3219967959449,165.268906848505
"Tubarao Azul",5.92,156.48,"M",5,5,2020,85.0417241547257,130.758241005242
"Meca",6.97,144.31,"M",16,9,2023,-21.0181992128491,160.269725974649
"Albacora bandolim",5.77,178.1,"M",13,1,2021,-86.1909483326599,21.0168225690722
"Outros",7.83,189.72,"F",12,12,2020,-71.7237359331921,-14.5675062295049
"Albacora branca",5.1,162.15,"M",9,1,2022,7.19024611171335,94.3690994661301
"Albacora branca",7.49,133.45,"F",11,1,2023,-46.9469424756244,-50.1379357371479
"Albacora branca",1.24,134.08,"F",16,10,2020,-30.137760322541,-103.709630845115
"Albacora branca",0.55,169.42,"F",12,2,2020,-58.3098351443186,106.51069952175
"Albacora bandolim",1.52,133.77,"M",7,11,2022,50.5601420486346,-30.3594866394997
"Meca",3.79,186.87,"F",9,1,2023,-71.8843790050596,-153.251402629539
"Tubarao Azul",1.41,151.96,"F",19,11,2023,77.3045267583802,145.833318997175
"Outros",0.2,149.11,"M",27,4,2023,-59.5982120325789,-128.684844234958
"Tubarao Azul",2.88,137,"M",2,4,2018,0.132866785861552,61.6636359784752
"Albacora laje",1.91,189.92,"M",26,8,2020,-42.6365934032947,175.245761554688
"Outros",1.01,142.03,"M",9,10,2020,-61.2660357914865,-96.7457358073443
"Outros",5.51,128.72,"M",19,1,2020,78.49425137043,136.848559007049
"Albacora bandolim",0.94,154.2,"M",16,1,2022,8.84687315672636,-50.8677620440722
"Outros",3.34,145.77,"M",15,9,2022,3.94267190247774,175.907790251076
"Tubarao Azul",2.2,158.16,"M",17,6,2019,44.5639445632696,37.3052523750812
"Tubarao Azul",1.7,119.07,"M",24,10,2018,-86.5027887001634,60.3710331022739
"Albacora bandolim",1.33,129.12,"F",20,10,2018,-39.8563653649762,37.047034855932
"Tubarao Azul",0.76,130.76,"M",13,11,2021,-36.7005370790139,30.6235116440803
"Outros",0.15,142.27,"M",28,12,2021,59.8058851668611,-163.062144275755
"Outros",0.36,156.14,"F",26,8,2019,8.10342592187226,154.267870495096
"Albacora laje",2.49,126.15,"F",18,11,2023,-29.7906171390787,-41.0697641596198
"Albacora laje",6.08,132.25,"F",17,7,2018,-3.24610297568142,-92.3762408830225
"Albacora laje",0.58,175.63,"M",20,7,2018,-87.5245368713513,-142.658406123519
"Albacora bandolim",3.6,128.95,"F",11,4,2019,-0.97551082726568,-92.2604982834309
"Meca",1.8,168.79,"M",28,8,2023,-26.204513492994,-124.001143276691
"Albacora branca",3.52,182.79,"F",28,12,2021,-37.4549062689766,20.5093689076602
"Albacora laje",5.74,124.78,"F",19,1,2023,-29.1755723208189,-11.429359568283
"Meca",4,152.09,"F",3,2,2023,-60.7545458665118,-18.1395533401519
"Tubarao Azul",3.1,189.95,"M",15,9,2023,-15.5475947074592,-122.234076736495
"Outros",6.25,137.08,"F",10,4,2021,51.1317318957299,175.276603270322
"Tubarao Azul",2.99,174.87,"F",3,1,2018,-66.9123066309839,-14.5984637830406
"Albacora branca",4.34,120.2,"M",1,11,2022,81.8378467764705,138.356062564999
"Outros",7.13,181.31,"F",8,1,2018,-33.8554872153327,126.474136132747
"Albacora laje",5.01,151.56,"M",18,5,2019,49.9268703209236,-65.7061238586903
"Albacora branca",0.78,174.34,"F",12,5,2020,87.8895217739046,138.725237119943
"Meca",5.1,137.15,"M",3,5,2021,-18.0250617396086,97.5817937683314
"Albacora laje",7.24,154.28,"M",1,3,2021,-79.2478432226926,-174.60665166378
"Meca",7.31,165.54,"F",11,9,2019,-61.4299523737282,119.428758183494
"Outros",2.14,132.28,"F",16,2,2020,7.68427028786391,-177.727325661108
"Outros",1.62,187.49,"M",1,10,2019,87.9169843252748,111.803281540051
"Albacora branca",1.47,156.05,"F",27,5,2018,-7.80648593790829,99.5029692258686
"Meca",6.41,129.07,"F",28,5,2021,-46.3967004558071,87.1624437253922
"Meca",6.34,129.56,"F",13,11,2019,71.3018824579194,65.9910758771002
"Albacora laje",1.59,176,"F",13,1,2023,-87.2062472999096,144.101332984865
"Tubarao Azul",2.22,184.94,"M",1,6,2022,-37.1227175323293,91.9939214084297
"Albacora bandolim",2.94,126.95,"M",1,12,2018,45.3088413225487,176.572962161154
"Albacora laje",4.82,142.44,"M",27,9,2022,-37.7782016806304,85.5149385798723
"Albacora laje",5.85,153.14,"M",23,7,2020,57.496990612708,-133.640494868159
"Albacora branca",2.09,182.46,"M",19,6,2019,-67.8692313004285,-154.046146441251
"Meca",0.79,119.55,"F",2,2,2023,-30.4592529125512,34.3182659614831
"Albacora bandolim",6.44,184.27,"F",21,3,2022,-79.5634766947478,-170.082394452766
"Meca",2.27,124.98,"F",24,10,2020,-41.5907854400575,89.9752714578062
"Tubarao Azul",7.26,117.78,"M",18,8,2018,-5.24736651219428,-22.0888089761138
"Albacora branca",5.48,157.21,"F",3,9,2023,-44.5717985741794,60.0902696046978
"Albacora laje",7.67,116.31,"F",18,12,2018,11.6616991348565,-61.3929549884051
"Tubarao Azul",1.89,169.92,"M",22,10,2020,79.8263568989933,39.1098075639457
"Albacora bandolim",6.13,146.87,"M",12,7,2023,66.0963170416653,37.8247074130923
"Tubarao Azul",5.67,180.8,"M",8,3,2021,-24.3918279418722,-15.4574567265809
"Tubarao Azul",1.84,123.02,"M",9,8,2021,0.709033655002713,-171.044106362388
"Albacora bandolim",0.98,183.99,"M",12,5,2019,-89.5962228532881,-104.045779947191
"Albacora branca",1.01,131.96,"F",17,11,2023,-51.5867866761982,65.1087731961161
"Meca",3.21,180.88,"M",21,10,2021,-89.9161300901324,-56.9030080921948
"Albacora laje",4.08,158.38,"M",18,2,2022,-18.461594232358,120.88444121182
"Tubarao Azul",4.61,140.35,"M",16,8,2018,2.9303174559027,-109.179133046418
"Meca",2.67,125.07,"M",8,1,2022,-87.0181466219947,-164.378926176578
"Meca",6.51,144.56,"F",24,10,2019,-7.50860386993736,-86.3080843817443
"Tubarao Azul",3.51,177.1,"F",14,7,2021,-4.64512316510081,57.5785915832967
"Tubarao Azul",4.81,185.27,"F",12,1,2020,-60.1760629098862,-35.3691797610372
"Meca",2.56,141.35,"M",25,2,2021,-6.09404488932341,-8.50162122398615
"Meca",6.33,117.95,"M",19,11,2020,-70.6718134973198,-174.737102407962
"Tubarao Azul",2.25,137.96,"M",20,3,2018,-45.122477710247,35.2744140475988
"Outros",2.62,132.55,"F",11,8,2021,-19.3825645605102,-5.85984324105084
"Albacora bandolim",7.84,126.04,"M",1,11,2023,75.6730445846915,149.266591882333
"Albacora bandolim",3.87,161.15,"M",20,3,2021,-23.4656057227403,-72.6241682935506
"Albacora branca",6.44,155.3,"F",11,8,2022,-71.141410251148,-26.5636518504471
"Tubarao Azul",1.49,184.01,"F",22,9,2021,43.8085634680465,-18.3815863262862
"Meca",5.01,145.18,"F",15,11,2018,-79.4785929936916,-156.623221328482
"Outros",1.8,151.07,"M",14,3,2018,-28.4796462859958,-46.4146449789405
"Meca",4.27,143.44,"F",17,7,2023,-2.92907425202429,-34.3233711272478
"Albacora bandolim",6.55,150.07,"M",28,6,2022,-56.9915675930679,-73.8684493303299
"Meca",4.71,145.63,"F",20,7,2021,-43.9387658145279,-84.6890544053167
"Albacora laje",3.45,134.34,"M",7,11,2019,-54.6952385595068,-152.479669488966
"Albacora laje",3.41,145.59,"F",15,11,2020,-80.8175326650962,176.332352003083
"Meca",3.65,172.33,"M",3,6,2018,76.1850261921063,-168.574988711625
"Albacora bandolim",2.45,155.17,"M",27,9,2020,-68.467959612608,-97.1976890321821
"Albacora laje",5.95,175.17,"M",28,2,2020,6.8398822657764,-117.819930491969
"Albacora laje",4.94,124.03,"M",10,4,2018,-80.2488741790876,-73.2988608721644
"Tubarao Azul",0.18,130.94,"F",17,11,2021,-18.2724153902382,172.569506457075
"Outros",2.22,189.51,"M",22,12,2021,-67.6709564588964,-26.112778801471
"Albacora branca",4.16,118.38,"F",18,11,2022,-48.3213629527017,158.665980314836
"Outros",7.42,179.66,"M",28,1,2019,-58.0222208658233,-86.373969996348
"Tubarao Azul",5.38,189.84,"M",26,8,2021,-28.1770758004859,49.7541371919215
"Outros",4.88,178.19,"M",14,1,2023,56.9213838223368,-42.3393236752599
"Outros",5.56,126.06,"F",22,7,2018,-58.6848875088617,-18.4549104608595
"Albacora bandolim",3.22,140.15,"M",12,6,2023,83.5387215111405,-134.808826306835
"Albacora laje",2.24,128.8,"F",4,3,2021,-9.652901859954,59.1275909263641
"Outros",1.31,169.31,"M",20,2,2018,-52.6425146637484,144.522297643125
"Outros",0.77,155.77,"F",7,1,2020,-9.50322927441448,149.65016445145
"Albacora bandolim",3.75,187.83,"F",18,12,2021,-42.6810445636511,153.483901955187
"Outros",0.26,169.3,"F",5,2,2018,-32.3032963369042,-6.11307252198458
"Albacora bandolim",4.16,143.77,"F",21,2,2021,-64.8683383874595,46.7651227768511
"Outros",0.62,159.22,"F",15,3,2019,87.2551771625876,-67.524123871699
"Outros",7.52,151.52,"M",14,9,2019,-53.4533076826483,53.5094968602061
"Albacora bandolim",4.84,122.58,"M",4,8,2022,65.3092235187069,-29.0479766204953
"Meca",3.1,165.83,"M",24,10,2020,-39.4099960383028,154.834769368172
"Albacora laje",3.2,151.39,"M",22,6,2022,-61.4271806878969,-50.9932217840105
"Tubarao Azul",5.86,146.82,"F",22,3,2020,-28.6225757561624,-119.568783324212
"Albacora laje",2.97,142.32,"F",17,12,2020,-70.7814999623224,-0.832297839224339
"Outros",2.04,189.16,"F",15,6,2021,-33.4277028730139,-156.366408867761
"Albacora branca",4.58,182.79,"F",3,3,2023,-60.0482585001737,72.8868827037513
"Albacora bandolim",4.51,138.97,"M",5,4,2023,-60.0978047261015,79.4286450650543
"Tubarao Azul",3.66,182.53,"F",8,2,2019,-79.4790456583723,-65.2187381498516
"Albacora bandolim",4.03,177.74,"F",8,2,2021,-41.0908470349386,168.679499058053
"Albacora bandolim",1.55,134,"F",24,9,2023,-3.22609034366906,-93.2302038464695
"Meca",7.27,135.07,"F",23,1,2021,-45.2041979553178,71.8399949837476
"Albacora branca",1.85,133.87,"F",8,2,2023,55.2661446528509,7.36098619177938
"Albacora laje",0.83,137.62,"F",21,7,2023,-38.8596275774762,179.346781605855
"Albacora branca",2.95,188.31,"F",6,2,2022,-57.4140931293368,-174.226068500429
"Albacora bandolim",7.1,171.05,"F",18,3,2020,-19.3591052480042,-19.7485934291035
